,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
0,11 Com b,1.178,0.0,0.0,0.0,13.76,2.85,-2.45,0.0,4874.0,,,0.0
1,11 UMi b,1.54,0.07,-0.07,0.0,24.08,1.84,-1.84,0.0,4340.0,70.0,-70.0,0.0
2,14 And b,0.83,,,0.0,11.0,1.0,-1.0,0.0,4813.0,20.0,-20.0,0.0
3,14 Her b,2.93,0.08,-0.08,0.0,0.93,0.01,-0.01,0.0,5338.0,25.0,-25.0,0.0
4,16 Cyg B b,1.68,0.03,-0.03,0.0,1.12827,0.079865,-0.046165,0.0,5747.0,143.26,-142.8,0.0
5,17 Sco b,1.45,0.02,-0.02,0.0,25.92,0.78,-0.74,0.0,4157.0,11.0,-10.0,0.0
6,18 Del b,2.476,0.002,-0.002,0.0,8.8,0.61,-0.4,0.0,4980.0,,,0.0
7,1RXS J160929.1-210524 b,330.0,,,0.0,1.31316,0.176833,-0.102363,0.0,3993.0,142.7,-159.97,0.0
8,24 Boo b,0.194,0.0,0.0,0.0,12.19,1.45,-1.28,0.0,4816.0,,,0.0
9,24 Sex b,1.333,0.004,-0.009,0.0,4.9,0.08,-0.08,0.0,5098.0,44.0,-44.0,0.0
10,24 Sex c,2.08,0.05,-0.02,0.0,4.9,0.08,-0.08,0.0,5098.0,44.0,-44.0,0.0
11,2M0437 b,118.0,1.3,-1.3,0.0,0.84,0.11,-0.11,0.0,3100.0,100.0,-100.0,0.0
12,2MASS J02192210-3925225 b,156.0,10.0,-10.0,0.0,0.281,0.013,-0.013,0.0,3064.0,76.0,-76.0,0.0
13,2MASS J12073346-3932539 b,46.0,5.0,-5.0,0.0,0.21887,0.006976,-0.006976,0.0,2825.0,157.0,-157.0,0.0
14,30 Ari B b,0.99,0.02,-0.02,0.0,1.41,0.05,-0.05,0.0,6331.0,61.0,-61.0,0.0
15,4 UMa b,0.877,0.001,0.0,0.0,18.11,1.47,-1.47,0.0,4415.0,70.0,-70.0,0.0
16,47 UMa b,2.1,0.02,-0.02,0.0,1.21334,0.038883,-0.058353,0.0,5872.0,92.94,-113.53,0.0
17,47 UMa c,3.6,0.1,-0.1,0.0,1.21334,0.038883,-0.058353,0.0,5872.0,92.94,-113.53,0.0
18,47 UMa d,11.6,2.1,-2.9,0.0,1.21334,0.038883,-0.058353,0.0,5872.0,92.94,-113.53,0.0
19,51 Eri b,12.0,4.0,-2.0,0.0,1.48726,0.045434,-0.055079,0.0,7295.0,120.09,-98.99,0.0
20,51 Peg b,0.0527,0.003,-0.003,0.0,1.17561,0.067361,-0.035328,0.0,5758.0,101.62,-119.62,0.0
21,55 Cnc b,0.115,1.1e-06,-1.1e-06,0.0,0.963515,0.077739,-0.053155,0.0,5250.0,123.3,-171.85,0.0
22,55 Cnc c,0.2373,0.0013,-0.0013,0.0,0.943,0.01,-0.01,0.0,5172.0,18.0,-18.0,0.0
23,55 Cnc d,5.54,0.1,-0.1,0.0,0.964411,0.020816,-0.020816,0.0,5317.89,80.51,-80.51,0.0
24,55 Cnc e,0.01544,9e-05,-9e-05,0.0,0.963515,0.077739,-0.053155,0.0,5250.0,123.3,-171.85,0.0
25,55 Cnc f,0.7733,0.001,-0.001,0.0,0.963515,0.077739,-0.053155,0.0,5250.0,123.3,-171.85,0.0
26,6 Lyn b,2.11,0.11,-0.11,0.0,5.2,,,0.0,4938.0,,,0.0
27,61 Vir b,0.04956,0.00065,-0.00067,0.0,1.03251,0.023198,-0.023198,0.0,5585.57,78.88,-78.88,0.0
28,61 Vir c,0.2151,0.0028,-0.0029,0.0,1.03251,0.023198,-0.023198,0.0,5585.57,78.88,-78.88,0.0
29,61 Vir d,0.476,0.001,-0.001,0.0,0.963,0.011,-0.011,0.0,5577.0,33.0,-33.0,0.0
30,7 CMa b,1.9,0.1,-0.1,0.0,2.3,0.1,-0.1,0.0,4792.0,100.0,-100.0,0.0
31,7 CMa c,2.153,0.003,-0.08,0.0,4.87,0.17,-0.14,0.0,4826.0,45.0,-55.0,0.0
32,70 Vir b,0.48,0.01,-0.01,0.0,1.84,0.03,-0.03,0.0,5531.0,11.0,-11.0,0.0
33,75 Cet b,1.912,0.002,-0.003,0.0,10.38,0.15,-0.26,0.0,4809.0,,,0.0
34,75 Cet c,3.929,0.058,-0.052,0.0,10.38,0.15,-0.26,0.0,4809.0,,,0.0
35,8 UMi b,0.49,0.03,-0.03,0.0,9.9,0.4,-0.4,0.0,4847.4,7.5,-7.5,0.0
36,81 Cet b,2.104,0.003,-0.003,0.0,11.21,0.81,-0.35,0.0,4734.0,,,0.0
