# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  5 19:33:53 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
11 Com b,1.1780000000,0.0000000000,0.0000000000,0,13.760000,2.850000,-2.450000,0,4874.00,,,0
11 Com b,1.2100000000,0.0600000000,-0.0500000000,0,,,,,,,,
11 Com b,1.2900000000,0.0500000000,-0.0500000000,0,19.000000,2.000000,-2.000000,0,4742.00,100.00,-100.00,0
11 UMi b,1.5100000000,0.0600000000,-0.0500000000,0,,,,,,,,
11 UMi b,1.5400000000,0.0700000000,-0.0700000000,0,24.080000,1.840000,-1.840000,0,4340.00,70.00,-70.00,0
11 UMi b,1.5300000000,0.0700000000,-0.0700000000,0,29.790000,2.840000,-2.840000,0,4213.00,46.00,-46.00,0
14 And b,0.8300000000,,,0,11.000000,1.000000,-1.000000,0,4813.00,20.00,-20.00,0
14 And b,0.7750000000,0.0000000000,0.0000000000,0,11.550000,1.120000,-0.510000,0,4888.00,,,0
14 And b,0.6800000000,0.0300000000,-0.0600000000,0,,,,,,,,
14 Her b,2.7700000000,0.0500000000,-0.0500000000,0,,,,,,,,
14 Her b,2.7740000000,0.1090000000,-0.1200000000,0,,,,,,,,
14 Her b,2.8000000000,,,0,,,,,5255.00,50.00,-50.00,0
14 Her b,2.7300000000,,,0,,,,,,,,
14 Her b,2.9300000000,0.0800000000,-0.0800000000,0,0.930000,0.010000,-0.010000,0,5338.00,25.00,-25.00,0
14 Her b,2.8640000000,,,0,1.002350,0.054000,-0.076000,0,5280.00,163.21,-128.17,0
14 Her b,2.8300000000,0.0410000000,-0.0410000000,0,0.995819,0.021652,-0.021652,0,5314.94,81.56,-81.56,0
14 Her b,2.8200000000,,,0,,,,,,,,
16 Cyg B b,1.6800000000,0.0300000000,-0.0300000000,0,,,,,,,,
16 Cyg B b,1.6800000000,0.0300000000,-0.0300000000,0,1.128270,0.079865,-0.046165,0,5747.00,143.26,-142.80,0
16 Cyg B b,1.6760000000,0.0250000000,-0.0250000000,0,1.159464,0.027195,-0.027195,0,5711.97,93.25,-93.25,0
16 Cyg B b,1.6000000000,,,0,,,,,5760.00,20.00,-20.00,0
16 Cyg B b,1.6600000000,0.0300000000,-0.0300000000,0,1.130000,0.010000,-0.010000,0,5750.00,8.00,-8.00,0
16 Cyg B b,1.6810000000,0.0970000000,-0.0970000000,0,,,,,5674.00,,,0
17 Sco b,1.4500000000,0.0200000000,-0.0200000000,0,25.920000,0.780000,-0.740000,0,4157.00,11.00,-10.00,0
18 Del b,2.5400000000,0.0400000000,-0.0400000000,0,,,,,,,,
18 Del b,2.4760000000,0.0020000000,-0.0020000000,0,8.800000,0.610000,-0.400000,0,4980.00,,,0
18 Del b,2.6000000000,,,0,8.500000,,,0,4979.00,18.00,-18.00,0
1RXS J160929.1-210524 b,330.0000000000,,,0,,,,,4060.00,300.00,-200.00,0
1RXS J160929.1-210524 b,330.0000000000,,,0,1.313160,0.176833,-0.102363,0,3993.00,142.70,-159.97,0
1RXS J160929.1-210524 b,330.0000000000,,,0,1.352000,,,0,4060.00,300.00,-200.00,0
1RXS J160929.1-210524 b,330.0000000000,,,0,,,,,4060.00,300.00,-200.00,0
24 Boo b,0.1940000000,0.0000000000,0.0000000000,0,12.190000,1.450000,-1.280000,0,4816.00,,,0
24 Boo b,0.1900000000,0.0120000000,-0.0090000000,0,10.640000,0.840000,-0.590000,0,4893.00,15.00,-15.00,0
24 Sex b,1.3330000000,0.0040000000,-0.0090000000,0,4.900000,0.080000,-0.080000,0,5098.00,44.00,-44.00,0
24 Sex c,2.0800000000,0.0500000000,-0.0200000000,0,4.900000,0.080000,-0.080000,0,5098.00,44.00,-44.00,0
2M0437 b,118.0000000000,1.3000000000,-1.3000000000,0,0.840000,0.110000,-0.110000,0,3100.00,100.00,-100.00,0
2MASS J01033563-5515561 AB b,84.0000000000,,,0,,,,,,,,
2MASS J01225093-2439505 b,52.0000000000,6.0000000000,-6.0000000000,0,,,,,3530.00,50.00,-50.00,0
2MASS J01225093-2439505 b,,,,,0.366450,0.011155,-0.011155,0,3309.00,157.00,-157.00,0
2MASS J02192210-3925225 b,156.0000000000,10.0000000000,-10.0000000000,0,0.281000,0.013000,-0.013000,0,3064.00,76.00,-76.00,0
2MASS J0249-0557 c,1950.0000000000,200.0000000000,-200.0000000000,0,,,,,,,,
2MASS J03590986+2009361 b,572.0000000000,7.0000000000,-7.0000000000,0,,,,,,,,
2MASS J04414489+2301513 b,15.0000000000,,,0,,,,,,,,
2MASS J11011926-7732383 b,266.0000000000,8.0000000000,-8.0000000000,0,,,,,,,,
2MASS J11550485-7919108 b,587.0000000000,2.0000000000,-2.0000000000,0,,,,,,,,
2MASS J12073346-3932539 b,46.0000000000,5.0000000000,-5.0000000000,0,0.218870,0.006976,-0.006976,0,2825.00,157.00,-157.00,0
2MASS J12073346-3932539 b,55.0000000000,,,0,,,,,,,,
2MASS J19383260+4603591 b,,,,,0.203000,0.001000,-0.001000,0,29564.00,,,0
2MASS J19383260+4603591 b,0.9200000000,0.0200000000,-0.0200000000,0,,,,,,,,
2MASS J21252752-8138278 b,7493.0000000000,11.0000000000,-11.0000000000,0,,,,,,,,
2MASS J22362452+4751425 b,230.0000000000,20.0000000000,-20.0000000000,0,,,,,4045.00,35.00,-35.00,0
30 Ari B b,0.9900000000,0.0200000000,-0.0200000000,0,1.410000,0.050000,-0.050000,0,6331.00,61.00,-61.00,0
30 Ari B b,0.9950000000,0.0120000000,-0.0120000000,0,1.130000,0.030000,-0.030000,0,6300.00,60.00,-60.00,0
30 Ari B b,1.0100000000,0.0100000000,-0.0100000000,0,1.130000,0.030000,-0.030000,0,,,,
4 UMa b,0.8770000000,0.0010000000,0.0000000000,0,18.110000,1.470000,-1.470000,0,4415.00,70.00,-70.00,0
4 UMa b,0.8700000000,0.0400000000,-0.0400000000,0,18.110000,1.470000,-1.470000,0,4415.00,70.00,-70.00,0
47 UMa b,2.1000000000,0.0200000000,-0.0200000000,0,1.213340,0.038883,-0.058353,0,5872.00,92.94,-113.53,0
47 UMa b,2.1100000000,0.0400000000,-0.0400000000,0,,,,,,,,
47 UMa b,2.1000000000,0.0220000000,-0.0220000000,0,,,,,5882.00,44.00,-44.00,0
