pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,type,Teq
Kepler-645 b,0.0442,,,0.0,1.273,0.664,-0.227,0.0,6449.0,173.0,-227.0,0.0,hotter,1526.522647636826
TOI-3919 b,0.0795,0.0014,-0.0016,0.0,1.319,0.052,-0.048,0.0,6100.0,110.0,-110.0,0.0,hotter,1095.914003340199
Kepler-380 c,0.0758,,,0.0,1.191,0.186,-0.186,0.0,6038.0,121.0,-121.0,0.0,hotter,1055.6554506729315
Kepler-410 A b,0.1226,0.0047,-0.0047,0.0,1.42749,0.056457,-0.082478,0.0,6304.0,156.96,-125.63,0.0,hotter,948.7795481750757
HATS-26 b,0.04735,0.00133,-0.00068,0.0,2.04,0.15,-0.11,0.0,6071.0,81.0,-81.0,0.0,hotter,1757.6125006177283
Kepler-105 c,0.07229,0.00081,-0.00081,0.0,1.026,0.025,-0.024,0.0,5933.0,60.0,-60.0,0.0,hotter,985.863355439392
Kepler-342 b,0.1291,,,0.0,1.369,0.228,-0.187,0.0,6297.0,113.0,-126.0,0.0,hotter,904.4407137818037
Kepler-1278 b,0.0419,,,0.0,0.858,0.356,-0.066,0.0,6075.0,150.0,-168.0,0.0,hotter,1212.5250581609719
Kepler-1900 b,0.042,,,0.0,1.041,0.514,-0.097,0.0,6173.0,165.0,-220.0,0.0,hotter,1355.5164873922777
HAT-P-5 b,0.04075,0.00076,-0.00076,0.0,1.167,0.049,-0.049,0.0,5960.0,100.0,-100.0,0.0,hotter,1406.7783922712765
Kepler-1287 b,0.1001,,,0.0,0.929,0.384,-0.079,0.0,6032.0,156.0,-179.0,0.0,hotter,810.5129514009449
Kepler-1824 b,0.4267,,,0.0,1.081,0.171,-0.061,0.0,6002.0,71.0,-89.0,0.0,hot,421.3619589837645
Kepler-359 d,0.372,,,0.0,1.086,0.503,-0.503,0.0,6248.0,250.0,-250.0,0.0,hot,470.8605129302088
Kepler-434 b,0.1143,0.003,-0.003,0.0,1.38,0.13,-0.13,0.0,5977.0,95.0,-95.0,0.0,hotter,916.0253483234276
Kepler-288 d,0.2818,,,0.0,1.068,0.378,-0.167,0.0,5918.0,185.0,-193.0,0.0,hot,508.15698611357135
Kepler-286 c,0.0448,,,0.0,0.908,0.39,-0.074,0.0,5970.0,163.0,-182.0,0.0,hotter,1185.4576844575404
